# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
338 2 0.734913 0.367457 0.0962985 0.271158 0.463755 2 0.289737 0.144868 0.0119285 0.13294 0.156797 2 0.14486 0.07243 0.005964 0.066466 0.078394 4 3.16319 4 1.48371 2.98781 4
339 4 0.876634 0.219159 0.0897339 0.07224 0.299146 4 0.436123 0.109031 0.0563042 0.04249 0.182051 4 0.218044 0.054511 0.0281518 0.021241 0.091021 6 3.15875 4 1.53497 3.01854 4
340 4 0.55071 0.137678 0.0744488 0.054837 0.251862 4 0.220922 0.0552305 0.024106 0.028963 0.092984 4 0.110449 0.0276122 0.0120529 0.014479 0.046489 6 3.18413 5 0.949915 3.08978 4
341 5 0.745168 0.149034 0.0874598 0.011228 0.247299 5 0.274119 0.0548238 0.0351747 0.007482 0.102562 5 0.137042 0.0274084 0.0175871 0.003738 0.051277 6 3.13967 5 0.841412 3.03182 3
342 1 0.376843 0.376843 -nan 0.376843 0.376843 1 0.110816 0.110816 -nan 0.110816 0.110816 1 0.055404 0.055404 2.13352e-10 0.055404 0.055404 3 3.12947 3 0.744667 3.03656 3
343 3 0.786761 0.262254 0.182161 0.096693 0.515962 3 0.294121 0.0980403 0.0290998 0.057407 0.124005 3 0.147049 0.0490163 0.0145498 0.0287 0.061999 5 3.0689 3 1.4609 3.03868 3
344 25 3.15469 0.126188 0.0884846 0.008972 0.334666 25 1.7893 0.0715718 0.0518571 0.005978 0.216351 25 0.894564 0.0357826 0.0259284 0.002986 0.108172 21 3.33104 6 1.8274 3.05339 4
345 5 1.22382 0.244764 0.133879 0.123539 0.500573 5 0.580457 0.116091 0.0420436 0.074791 0.176567 5 0.29021 0.058042 0.0210214 0.037392 0.08828 7 3.35423 6 1.70017 2.99001 4
346 3 0.790778 0.263593 0.137499 0.163367 0.458015 3 0.332547 0.110849 0.0223553 0.084062 0.138785 3 0.166262 0.0554207 0.0111779 0.042027 0.069389 5 3.23087 4 1.37261 3.01449 4
347 5 0.716916 0.143383 0.110288 0.075899 0.362866 5 0.317393 0.0634786 0.0225713 0.043748 0.10546 5 0.15868 0.031736 0.0112852 0.021871 0.052726 7 3.17467 5 1.20765 3.02157 4
348 6 0.974295 0.162383 0.0648641 0.090215 0.29308 6 0.487033 0.0811722 0.0202312 0.052211 0.107676 6 0.243496 0.0405827 0.0101156 0.026102 0.053835 8 3.17691 6 1.16732 3.03237 4
349 5 1.15285 0.23057 0.129295 0.005202 0.397435 5 0.592528 0.118506 0.0594591 0.003464 0.175213 5 0.296245 0.059249 0.0297297 0.001728 0.087603 6 3.32808 3 1.06264 3.0514 3
350 1 0.404554 0.404554 2.43724e-09 0.404554 0.404554 1 0.108385 0.108385 -nan 0.108385 0.108385 1 0.054188 0.054188 4.22784e-10 0.054188 0.054188 3 3.18506 3 1.02236 3.01303 3
351 3 0.732657 0.244219 0.16488 0.083396 0.470849 3 0.334928 0.111643 0.0586459 0.052253 0.191474 3 0.167453 0.0558177 0.0293227 0.026123 0.095733 5 3.38719 5 1.05228 2.95743 3
352 2 0.541392 0.270696 0.178394 0.092302 0.44909 2 0.212414 0.106207 0.048178 0.058029 0.154385 2 0.1062 0.0531 0.024089 0.029011 0.077189 4 3.18867 3 0.786514 2.98213 3
353 6 0.759131 0.126522 0.122369 0.006223 0.36809 6 0.337476 0.056246 0.0403457 0.004146 0.1059 6 0.168719 0.0281198 0.0201724 0.00207 0.052946 6 3.23838 5 1.48147 3.01035 4
