# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
428 26 1.70769 0.0656805 0.0807405 0.005785 0.330026 26 0.950176 0.0365452 0.038098 0.003854 0.15306 26 0.474901 0.0182654 0.0190443 0.001924 0.076515 5 3.25968 5 1.302 3.03379 4
429 14 0.659892 0.0471351 0.0575295 0.005632 0.21822 14 0.366976 0.0262126 0.0250256 0.003751 0.087332 14 0.18342 0.0131014 0.0125092 0.001872 0.043652 4 3.57766 4 0.759138 3.01073 3
430 48 3.21142 0.0669046 0.0920052 0.005489 0.556941 48 1.86323 0.0388173 0.0552123 0.003656 0.367614 48 0.931291 0.0194019 0.0276027 0.001825 0.18379 5 3.28728 5 2.17488 3.00757 4
431 21 1.30875 0.0623212 0.0819434 0.008183 0.320253 21 0.714124 0.0340059 0.0393372 0.005453 0.167617 21 0.356926 0.0169965 0.0196635 0.002724 0.083787 6 3.76572 6 1.37312 2.98872 3
432 42 2.59903 0.0618817 0.093699 0.006028 0.459899 42 1.55986 0.0371395 0.0544886 0.004016 0.293046 42 0.779686 0.018564 0.0272407 0.002005 0.146507 6 3.56105 6 0.962106 2.99359 3
433 18 1.93701 0.107612 0.158058 0.005352 0.603594 18 0.967988 0.0537771 0.0657509 0.003565 0.259154 18 0.483864 0.0268813 0.0328713 0.00178 0.129563 6 3.57379 5 1.68733 3.02124 4
434 23 1.21323 0.052749 0.0875077 0.007015 0.414387 23 0.666933 0.0289971 0.037736 0.004674 0.162106 23 0.333342 0.0144931 0.0188638 0.002334 0.081038 3 3.04586 3 1.17202 3.05951 3
435 13 0.661957 0.0509198 0.0707971 0.009512 0.270307 13 0.311694 0.0239765 0.0228546 0.006338 0.071335 13 0.155764 0.0119818 0.0114226 0.003165 0.035654 4 3.40645 4 1.16038 3.05064 4
436 35 2.41986 0.0691389 0.073122 0.007315 0.26828 35 1.41599 0.0404569 0.0426114 0.004873 0.171212 35 0.707721 0.0202206 0.0213017 0.002432 0.085591 7 3.31769 7 1.16152 3.02598 4
437 7 0.698541 0.0997916 0.0833716 0.018121 0.274171 7 0.294013 0.0420019 0.0267717 0.012078 0.079358 7 0.146937 0.020991 0.0133812 0.006036 0.039665 6 3.61742 6 1.69973 3.04079 4
